10200117	世田谷
10200129	巣鴨
10200132	板橋
10200149	梅島
10200151	金町
10200156	池上
10200168	立川
10200173	八王子
10200174	町田
10200176	久米川
10200187	川崎
10200196	横浜
10200204	平塚
10200205	横須賀
10200207	藤沢
10200209	厚木
10200213	相模原
10200221	大宮
10200224	草加
10200225	春日部
10200227	川越
10200238	熊谷
10200243	秩父
10200249	千葉
10200252	銚子
10200258	五井
10200265	船橋
10200267	松戸
10200276	高崎
10200278	太田
10200289	宇都宮
10200304	水戸
10200306	日立
10200329	新潟
10200330	三条
10200339	長岡
10200343	高田
10200351	岡谷
10200353	飯田
10200360	長野
10200364	上田
10200370	甲府
10200380	金沢
10200391	富山
10200401	福井
10200411	仙台
10200426	郡山
10200428	福島
10200432	会津若松
10200434	いわき
10200455	山形
10200457	鶴岡
10200466	盛岡
10200469	一関
10200478	青森
10200479	弘前
10200483	八戸
10200501	札幌
10200508	室蘭
10200509	函館
10200512	苫小牧
10200532	釧路
10200542	名古屋
10200556	一宮
10200562	半田
10200571	豊橋
10200574	西尾
10200577	豊田
10200586	静岡
10200588	島田
10200591	浜松
10200603	沼津
10200627	津
10200636	大阪
10200642	十三
10200653	高槻
10200692	藤井寺
10200693	堺
10200698	和歌山
10200712	大和高田
10200713	奈良郡山
10200721	伏見
10200722	京都
10200734	大津
10200738	長浜
10200751	川西
10200755	神戸
10200758	明石
10200759	加古川
10200761	洲本
10200771	姫路
10200781	広島
10200785	呉
10200806	岡山
10200810	笠岡
10200812	津山
10200827	下関
10200834	米子
10200851	松山
10200853	西条
10200866	観音寺
10200873	徳島
10200882	高知
10200895	飯塚
10200898	福岡
10200909	八女
10200938	長崎
10200940	佐世保
10200951	鹿児島
10200960	那覇
10200961	コザ
10200964	熊本
10200977	宮崎
10200988	大分
